Sources/sinks,CNTR,antro1,H2_avi
Total production,0.0,0.0,0.0
Total loss,689.7020977855115,689.4109741694624,689.4697863676068
Drydep,0.0,0.0,0.0
CH4 + OH -> H2O + CH3,672.8210607532371,672.5301567714246,672.5889374592854
CH4 + O1D -> OH + CH3,7.913017600024578,7.912742243875065,7.9128111548284705
CH4 + O1D -> CH3O + H -O2-> CH2O + HO2 + H,2.1101381057808504,2.110064639672299,2.1100830982437278
CH4 + O1D -> H2 + CH2O,0.5275345264452126,0.5275161599180748,0.5275207745609319
CH4 + Cl -> HCl + CH3,6.330309163552484,6.3305141238545835,6.330459669069125
