Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,79.41308449636867,95.67444742963646,101.27816238243524,77.265645119787,92.66944876718077,97.8922017016037,87.18658202941937,102.58331416344906,107.80080069292372
CH2O+hv,47.14339827162315,63.37172521060933,68.96652462264824,45.00140089231337,60.37499983842704,65.58962355743982,44.90171720149104,60.26826519116026,65.47763037801127
H+HO2,0.009086057428217408,0.010625437762516801,0.011000984001270081,0.00882039212594606,0.010256011227294548,0.010603825206149194,0.008868508710729488,0.010301088970838134,0.010647040627952192
CH4+O1D,0.057383356869095625,0.08887400907075654,0.09740879185152651,0.052210069670010885,0.08097344479185868,0.08875998372137417,0.052169085825828854,0.08091410276993728,0.08869770952928187
Total loss,78.574174516383,94.73966144181874,100.32136130385663,76.44954778019458,91.76812809288685,96.96978933833078,86.34047599963952,101.64996684423146,106.84668688870046
Drydeposition,53.422224081712244,66.12603764422325,68.92842245438199,51.5060175166001,63.46405043205735,65.95663898539682,58.52522359985253,70.6409427135443,73.01991532459192
H2+O1D,0.572125001749616,0.7328407208693036,0.7670132299107784,0.5461756873950333,0.6963205162316948,0.7270265568887608,0.5850202139482847,0.7352212739878393,0.7650311367515362
H2+OH,24.549337951881213,27.846525407811573,30.58999559525653,24.367458466384026,27.574218767250386,30.250999584237587,27.198185189763446,30.23841198304967,33.024758968462876
H2+Cl,0.03048656228781842,0.034258869315260176,0.035929086964149703,0.029894105014248915,0.03351861766452253,0.035132170883272536,0.032039154975734445,0.0353987239203149,0.036974802561147914
Emis(est),-0.8389099799856723,-0.9347859878177189,-0.9568010785786072,-0.8160973395924174,-0.9013206742939133,-0.9224123632729118,-0.8461060297798468,-0.9333473192176029,-0.9541138042232546
