Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,79.41315402855096,95.6746096123871,101.27832460704967,77.26566494648235,92.66946788936815,97.89223200142551,87.18649616557092,102.58322666930468,107.80067179189352
CH2O+hv,47.14346249846596,63.371886907739885,68.96670615843523,45.001413037001534,60.37502548299437,65.58965156192934,44.90162956321556,60.268183327098825,65.47750898854277
H+HO2,0.009088012198402697,0.010628548090223774,0.011004648042696734,0.00882017112123776,0.010256230111363127,0.010604449093273972,0.008869644610721088,0.010302600080971181,0.010648858351430493
CH4+O1D,0.05738235783811765,0.08886944201409692,0.09740186309605416,0.05221042556720431,0.0809731670108327,0.08875825986263121,0.05216730156126793,0.08091080744532451,0.08869294288952893
Total loss,78.57992072353098,94.75101789445573,100.33369304426829,76.4485254123912,91.76935499884075,96.97155953712239,86.35339693475065,101.66657173626628,106.86244091695647
Drydeposition,53.425884281527914,66.13346323263083,68.93633076050385,51.50535483179519,63.46485937462365,65.95774548149514,58.533563956530465,70.65191106483974,73.03016221490631
H2+O1D,0.572258297469534,0.733071273250128,0.7672468391806196,0.5461525652150537,0.6963493042937788,0.7270547909750386,0.5853114192089094,0.7355684459525089,0.7653488704663339
H2+OH,24.55128581854378,27.850214506207887,30.594163495905786,24.36712503348285,27.574632130105485,30.251621488319504,27.2024725305233,30.243667095537123,33.029935770527395
H2+Cl,0.030494369197220626,0.034271331338389666,0.03594318554236272,0.029892711438572066,0.033519468744815664,0.03513448408420539,0.03205678505685164,0.03541707923802324,0.03699341796354968
Emis(est),-0.8332333050199878,-0.9235917179313731,-0.9446315627813817,-0.8171395340911403,-0.9001128905273958,-0.9206724643031237,-0.8330992308202667,-0.9166549330384015,-0.938230874937048
