Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total loss,559.4519476516047,791.1944973821118,915.9196421000715,524.5855216137962,743.7842079037215,862.471741518517,521.6478368522356,740.8492451311746,859.3057967309534
Drydep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 + OH -> H2O + CH3,544.6158195374336,769.4751370732862,892.1268551765203,510.9284240509576,723.7628962957829,840.5200350663636,507.9945384267896,720.8324684300584,837.3578418684855
CH4 + O1D -> OH + CH3,6.8490812935381475,10.607357394451613,11.62577797831234,6.231764295530977,9.664863157142856,10.594083059350742,6.226616814049156,9.65741954263185,10.58628642506298
CH4 + O1D -> CH3O + H -O2-> CH2O + HO2 + H,1.8264217825376345,2.828628706481823,3.1002075096446498,1.6618037750721966,2.5772968616779313,2.8250888488668715,1.6604311810783408,2.575311937105479,2.823009651092678
CH4 + O1D -> H2 + CH2O,0.45660544563440864,0.7071571766204557,0.7750518774111624,0.41545094376804914,0.6443242154194828,0.7062722122167179,0.4151077952695852,0.6438279842763698,0.7057524127731695
CH4 + Cl -> HCl + CH3,5.70407015286636,7.576224407850487,8.291793322300052,5.348035457273937,7.134779272837687,7.826279694066565,5.351167966067589,7.1402767876374815,7.832852672974911
