Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total loss,559.4523985462529,791.1938329390273,915.9181575666893,524.5849299993693,743.7842357969729,862.4710690471521,521.6506112212351,740.8523531283399,859.3091375291184
Drydep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 + OH -> H2O + CH3,544.6159615011655,769.4737254355433,892.1242607596599,510.92790231797653,723.762765919951,840.5191433052413,507.9971241551173,720.8350334609237,837.3608177769912
CH4 + O1D -> OH + CH3,6.849200431182795,10.607902540509984,11.626605618746545,6.231721545863799,9.664896187231953,10.59428806114286,6.226829916262161,9.657812928081926,10.5868557734808
CH4 + O1D -> CH3O + H -O2-> CH2O + HO2 + H,1.8264535385094727,2.8287740033568873,3.1004281840471073,1.6617923927910905,2.577305665971326,2.825143618303636,1.6604878887342551,2.5754167201766514,2.823161500250384
CH4 + O1D -> H2 + CH2O,0.45661338462736817,0.7071935008392218,0.7751070460117768,0.4154480981977726,0.6443264164928315,0.706285904575909,0.4151219721835638,0.6438541800441628,0.705790375062596
CH4 + Cl -> HCl + CH3,5.704045398727087,7.576185811371225,8.291719434637992,5.348022647474655,7.134926832114696,7.826258179961087,5.351040712527394,7.140204592020482,7.832577715578085
