
Global mean O3 RF results using NRF method (*net*);
Case: OsloCTM3_ssp_senstest_yr26;

;Month;DU;SW clear;SW;LW inst. clear;LW inst.;LW adj.;NET adj.;
CNTR_SSP119 (mW m-2);1:12;
10CH4_SSP119-CNTR_SSP119 (mW m-2);1:12;1.2854;-3.1872;0.3681;35.8589;26.0674;33.1626;33.5307;
antro10_SSP119-CNTR_SSP119 (mW m-2);1:12;0.04364;0.32921;0.47248;2.1631;1.487;1.7264;2.1989;
