,CH4 burden [Tg],CH4 surface conc. [ppbv],CH4 chem loss OH [Tg/yr],CH4 chem loss other strat [Tg/yr],CH4 loss soil [Tg/yr],CH4 total loss [Tg/yr],CH4 lifetime due to OH (whole atmosphere) [yrs],Total CH4 lifetime [yrs]
CTRL,4975.012173141335,1813.060158629511,674.1606922542796,20.729217388088895,31.09382608213334,725.9837357245018,7.379564294242272,6.8527873674421595
CNTR_SSP119,3916.271386624,1426.878343950399,510.92842405095763,16.317797444266667,24.4766961664,551.7229176616243,7.66500981795722,7.098257587744212
CNTR_SSP434,6104.0167485440015,2222.8117674568466,723.762896295783,25.433403118933338,38.15010467840001,787.3464040931163,8.433724331247632,7.752644473654195
CNTR_SSP585,6712.61065216,2445.8181541184977,840.5200350663637,27.96921105066667,41.953816576,910.4430626930304,7.9862589493539,7.372905486593024
